S.No,treatment 
1,Yes
2,No
3,Yes
4,No
5,No
6,No
7,Yes
8,No
9,No
10,No
11,No
12,No
13,No
14,No
15,No
16,No
17,No
18,No
19,No
20,No
21,No
22,No
23,No
24,No
25,No
26,Yes
27,Yes
28,Yes
29,Yes
30,Yes
31,No
32,Yes
33,No
34,Yes
35,No
36,Yes
37,No
38,No
39,Yes
40,No
41,Yes
42,No
43,No
44,Yes
45,No
46,No
47,Yes
48,No
49,Yes
50,No
51,No
52,No
53,No
54,Yes
55,No
56,No
57,No
58,No
59,Yes
60,Yes
61,No
62,No
63,No
64,No
65,No
66,No
67,Yes
68,No
69,Yes
70,Yes
71,Yes
72,Yes
73,No
74,No
75,No
76,No
77,Yes
78,No
79,Yes
80,Yes
81,No
82,Yes
83,No
84,Yes
85,Yes
86,Yes
87,No
88,No
89,Yes
90,No
91,No
92,Yes
93,No
94,No
95,Yes
96,Yes
97,No
98,No
99,No
100,Yes
101,No
102,Yes
103,No
104,No
105,No
106,No
107,No
108,No
109,No
110,Yes
111,No
112,Yes
113,No
114,No
115,No
116,Yes
117,Yes
118,Yes
119,No
120,No
121,Yes
122,No
123,Yes
124,Yes
125,No
126,No
127,No
128,Yes
129,No
130,No
131,No
132,Yes
133,Yes
134,No
135,Yes
136,No
137,No
138,No
139,No
140,Yes
141,Yes
142,Yes
143,No
144,No
145,No
146,No
147,Yes
148,No
149,No
150,Yes
151,No
152,No
153,No
154,No
155,No
156,No
157,No
158,No
159,No
160,Yes
161,Yes
162,No
163,No
164,Yes
165,No
166,No
167,No
168,No
169,Yes
170,No
171,No
172,Yes
173,No
174,Yes
175,No
176,Yes
177,No
178,No
179,Yes
180,Yes
181,No
182,Yes
183,No
184,Yes
185,No
186,No
187,No
188,No
189,No
190,Yes
191,No
192,No
193,No
194,No
195,Yes
196,No
197,Yes
198,No
199,Yes
200,Yes
201,No
202,No
203,No
204,Yes
205,Yes
206,No
207,Yes
208,Yes
209,No
210,Yes
