S.No,treatment 
1,Yes
2,No
3,No
4,Yes
5,No
6,Yes
7,Yes
8,No
9,Yes
10,No
11,No
12,No
13,Yes
14,No
15,No
16,Yes
17,No
18,Yes
19,Yes
20,No
21,Yes
22,No
23,Yes
24,No
25,Yes
26,Yes
27,No
28,Yes
29,No
30,No
31,No
32,Yes
33,Yes
34,Yes
35,Yes
36,No
37,No
38,No
39,Yes
40,Yes
41,No
42,Yes
43,Yes
44,No
45,No
46,Yes
47,No
48,No
49,No
50,Yes
51,Yes
52,No
53,No
54,No
55,No
56,Yes
57,Yes
58,No
59,No
60,Yes
61,Yes
62,Yes
63,No
64,No
65,No
66,Yes
67,Yes
68,Yes
69,Yes
70,No
71,No
72,No
73,Yes
74,No
75,No
76,Yes
77,Yes
78,Yes
79,Yes
80,No
81,Yes
82,No
83,No
84,Yes
85,No
86,No
87,Yes
88,Yes
89,Yes
90,No
91,No
92,Yes
93,No
94,Yes
95,Yes
96,No
97,Yes
98,No
99,Yes
100,Yes
101,Yes
102,No
103,Yes
104,Yes
105,No
106,Yes
107,No
108,Yes
109,No
110,Yes
111,Yes
112,Yes
113,Yes
114,No
115,No
116,No
117,Yes
118,Yes
119,No
120,No
121,No
122,No
123,Yes
124,Yes
125,No
126,No
127,No
128,Yes
129,Yes
130,No
131,Yes
132,Yes
133,No
134,No
135,No
136,No
137,No
138,No
139,Yes
140,No
141,Yes
142,Yes
143,No
144,No
145,Yes
146,Yes
147,No
148,No
149,Yes
150,No
151,No
152,No
153,No
154,No
155,Yes
156,Yes
157,No
158,No
159,Yes
160,Yes
161,Yes
162,Yes
163,No
164,Yes
165,Yes
166,No
167,No
168,Yes
169,Yes
170,No
171,Yes
172,No
173,No
174,No
175,Yes
176,No
177,No
178,Yes
179,Yes
180,No
181,No
182,No
183,No
184,No
185,Yes
186,No
187,No
188,No
189,No
190,No
191,Yes
192,Yes
193,No
194,No
195,Yes
196,No
197,No
198,No
199,Yes
200,Yes
201,Yes
202,Yes
203,No
204,Yes
205,Yes
206,Yes
207,Yes
208,Yes
209,No
210,No
211,Yes
212,Yes
213,No
214,Yes
215,Yes
216,Yes
217,Yes
218,No
219,No
220,No
221,Yes
222,No
223,No
224,Yes
225,No
226,No
227,Yes
228,No
229,No
230,Yes
231,Yes
232,Yes
233,Yes
234,No
235,No
236,No
237,Yes
238,Yes
239,Yes
240,Yes
241,No
242,Yes
243,Yes
244,No
245,No
246,Yes
247,No
248,No
249,Yes
250,Yes
251,Yes
252,Yes
253,Yes
254,Yes
255,No
256,Yes
257,Yes
258,No
259,No
260,Yes
261,Yes
262,Yes
263,Yes
264,Yes
265,Yes
266,No
267,Yes
268,Yes
269,Yes
270,No
271,No
272,No
273,Yes
274,Yes
275,No
276,No
277,Yes
278,No
279,Yes
280,Yes
281,Yes
282,No
283,No
284,Yes
285,No
286,Yes
287,Yes
288,No
289,Yes
290,Yes
291,No
292,No
293,Yes
294,No
295,No
296,No
297,Yes
298,No
299,Yes
300,No
301,Yes
302,Yes
303,No
304,Yes
305,Yes
306,Yes
307,Yes
308,No
309,No
310,No
311,Yes
312,No
313,No
314,Yes
315,No
316,No
317,No
318,No
319,Yes
320,No
321,Yes
322,No
323,No
324,Yes
325,No
326,No
327,No
328,Yes
329,No
330,Yes
331,No
332,Yes
333,Yes
334,No
335,No
336,No
337,No
338,No
339,Yes
340,Yes
341,No
342,Yes
343,No
344,No
345,No
346,Yes
347,Yes
348,No
349,No
350,Yes
351,No
352,Yes
353,No
354,Yes
355,Yes
356,Yes
357,Yes
358,Yes
359,No
360,Yes
361,Yes
362,Yes
363,Yes
364,Yes
365,Yes
366,Yes
367,Yes
368,Yes
369,Yes
370,No
371,No
372,Yes
373,Yes
374,Yes
375,Yes
376,No
377,Yes
378,Yes
379,Yes
380,Yes
381,No
382,No
383,Yes
384,Yes
385,No
386,Yes
387,No
388,Yes
389,Yes
390,Yes
391,Yes
392,Yes
393,No
394,Yes
395,No
396,No
397,No
398,No
399,No
400,No
401,Yes
402,Yes
403,No
404,Yes
405,Yes
406,No
407,Yes
408,No
409,No
410,Yes
411,Yes
412,Yes
413,No
414,Yes
415,Yes
416,Yes
417,Yes
418,No
419,No
420,Yes
421,Yes
422,No
423,Yes
424,Yes
425,Yes
426,No
427,Yes
428,No
429,No
430,No
431,No
432,Yes
433,Yes
434,No
435,Yes
436,No
437,No
438,No
439,Yes
440,Yes
441,Yes
442,No
443,Yes
444,No
445,Yes
446,Yes
447,Yes
448,Yes
449,Yes
450,Yes
451,Yes
452,Yes
453,Yes
454,No
455,Yes
456,No
457,No
458,No
459,No
460,No
461,No
462,No
463,No
464,No
465,Yes
466,No
467,Yes
468,No
469,No
470,Yes
471,Yes
472,Yes
473,No
474,Yes
475,No
476,No
477,Yes
478,Yes
479,No
480,No
481,No
482,Yes
483,Yes
484,Yes
485,No
486,Yes
487,Yes
488,Yes
489,No
490,No
491,No
492,No
493,Yes
494,Yes
495,Yes
496,Yes
497,Yes
498,Yes
499,No
500,No
501,No
502,No
503,No
504,No
505,Yes
506,Yes
507,No
508,Yes
509,Yes
510,No
511,Yes
512,No
513,No
514,No
515,Yes
516,No
517,No
518,Yes
519,No
520,Yes
521,No
522,No
523,No
524,Yes
525,Yes
526,Yes
527,No
528,Yes
529,Yes
530,Yes
531,No
532,Yes
533,Yes
534,No
535,No
536,Yes
537,Yes
538,No
539,No
540,Yes
541,Yes
542,Yes
543,No
544,Yes
545,Yes
546,No
547,No
548,Yes
549,Yes
550,No
551,Yes
552,No
553,No
554,Yes
555,Yes
556,Yes
557,No
558,No
559,Yes
560,No
561,No
562,Yes
563,No
564,No
565,No
566,Yes
567,Yes
568,No
569,Yes
570,Yes
571,Yes
572,Yes
573,No
574,Yes
575,No
576,No
577,No
578,Yes
579,No
580,Yes
581,Yes
582,No
583,No
584,No
585,No
586,No
587,Yes
588,No
589,Yes
590,No
591,Yes
592,Yes
593,Yes
594,Yes
595,No
596,No
597,Yes
598,No
599,No
600,Yes
601,Yes
602,Yes
603,Yes
604,Yes
605,No
606,Yes
607,No
608,No
609,No
610,No
611,No
612,No
613,No
614,Yes
615,No
616,Yes
617,No
618,Yes
619,Yes
620,Yes
621,No
622,No
623,Yes
624,Yes
625,Yes
626,Yes
627,Yes
628,Yes
629,Yes
630,Yes
631,No
632,Yes
633,No
634,Yes
635,No
636,No
637,Yes
638,No
639,No
640,Yes
641,Yes
642,No
643,Yes
644,Yes
645,Yes
646,No
647,Yes
648,No
649,Yes
650,No
651,No
652,No
653,Yes
654,No
655,No
656,No
657,No
658,No
659,Yes
660,No
661,Yes
662,No
663,No
664,No
665,No
666,No
667,No
668,No
669,No
670,No
671,No
672,Yes
673,No
674,No
675,Yes
676,No
677,No
678,Yes
679,Yes
680,Yes
681,No
682,No
683,Yes
684,No
685,No
686,Yes
687,Yes
688,Yes
689,No
690,Yes
691,No
692,No
693,No
694,No
695,No
696,Yes
697,No
698,Yes
699,No
700,No
701,Yes
702,Yes
703,Yes
704,Yes
705,Yes
706,No
707,No
708,No
709,Yes
710,Yes
711,No
712,No
713,No
714,No
715,Yes
716,Yes
717,Yes
718,Yes
719,No
720,No
721,No
722,Yes
723,No
724,No
725,Yes
726,No
727,No
728,Yes
729,No
730,Yes
731,No
732,No
733,No
734,No
735,No
736,No
737,No
738,No
739,Yes
740,Yes
741,Yes
742,No
743,No
744,Yes
745,Yes
746,No
747,No
748,No
749,Yes
750,No
751,Yes
752,No
753,Yes
754,No
755,No
756,Yes
757,Yes
758,Yes
759,No
760,Yes
761,Yes
762,Yes
763,Yes
764,Yes
765,Yes
766,No
767,Yes
768,No
769,No
770,No
771,No
772,Yes
773,No
774,No
775,Yes
776,Yes
777,No
778,Yes
779,No
780,No
781,No
782,Yes
783,No
784,No
785,No
786,Yes
787,Yes
788,Yes
789,No
790,No
791,No
792,Yes
793,Yes
794,Yes
795,Yes
796,No
797,Yes
798,No
799,Yes
800,Yes
801,No
802,Yes
803,No
804,Yes
