S.No,treatment 
1,Yes
2,Yes
3,Yes
4,Yes
5,No
6,No
7,Yes
8,No
9,No
10,Yes
11,Yes
12,No
13,No
14,No
15,No
16,Yes
17,Yes
18,No
19,No
20,No
21,No
22,No
23,No
24,Yes
25,No
26,Yes
27,Yes
28,Yes
29,Yes
30,Yes
31,No
32,Yes
33,Yes
34,Yes
35,Yes
36,Yes
37,No
38,No
39,Yes
40,No
41,Yes
42,No
43,Yes
44,Yes
45,No
46,No
47,Yes
48,Yes
49,Yes
50,No
51,No
52,No
53,Yes
54,Yes
55,Yes
56,No
57,No
58,No
59,Yes
60,Yes
61,No
62,Yes
63,No
64,No
65,Yes
66,No
67,Yes
68,No
69,Yes
70,Yes
71,No
72,Yes
73,No
74,No
75,No
76,No
77,Yes
78,No
79,Yes
80,Yes
81,No
82,Yes
83,No
84,Yes
85,Yes
86,Yes
87,No
88,Yes
89,Yes
90,Yes
91,No
92,Yes
93,No
94,No
95,Yes
96,No
97,Yes
98,Yes
99,Yes
100,Yes
101,No
102,Yes
103,No
104,Yes
105,Yes
106,Yes
107,No
108,No
109,No
110,Yes
111,No
112,Yes
113,No
114,No
115,Yes
116,Yes
117,Yes
118,Yes
119,No
120,No
121,Yes
122,No
123,No
124,Yes
125,Yes
126,No
127,Yes
128,Yes
129,No
130,No
131,No
132,Yes
133,Yes
134,Yes
135,Yes
136,No
137,No
138,No
139,Yes
140,Yes
141,Yes
142,Yes
143,Yes
144,No
145,No
146,No
147,Yes
148,No
149,No
150,No
151,No
152,No
153,Yes
154,No
155,No
156,No
157,No
158,Yes
159,No
160,Yes
161,Yes
162,No
163,No
164,Yes
165,No
166,Yes
167,No
168,No
169,No
170,No
171,No
172,Yes
173,Yes
174,No
175,No
176,Yes
177,No
178,No
179,Yes
180,Yes
181,No
182,Yes
183,No
184,Yes
185,No
186,No
187,Yes
188,No
189,Yes
190,Yes
191,No
192,Yes
193,No
194,No
195,Yes
196,No
197,Yes
198,No
199,Yes
200,Yes
201,Yes
202,Yes
203,Yes
204,Yes
205,Yes
206,No
207,Yes
208,Yes
209,Yes
210,Yes
